"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 22 12:53:24 UTC 2026","Sun Mar 22 12:53:24 UTC 2026","57","tests","test_inventory","TestInventory","","","test_product_list_not_empty","商品列表页应至少有一个商品。"
"passed","Sun Mar 22 12:53:25 UTC 2026","Sun Mar 22 12:53:25 UTC 2026","116","tests","test_inventory","TestInventory","","","test_add_single_product_updates_badge","
        通过商品名称加入购物车，角标数字变为 1。
        使用动态 XPath 定位，不依赖硬编码 ID。
        "
"passed","Sun Mar 22 12:53:12 UTC 2026","Sun Mar 22 12:53:12 UTC 2026","112","tests","test_detail","TestDetail","","","test_add_to_cart_from_detail_updates_badge","从详情页加入购物车，角标变为 1。"
"passed","Sun Mar 22 12:52:53 UTC 2026","Sun Mar 22 12:52:53 UTC 2026","10","tests","test_cart","TestCart","","","test_cart_item_count_is_correct","购物车商品数量应为 2。"
"passed","Sun Mar 22 12:53:30 UTC 2026","Sun Mar 22 12:53:31 UTC 2026","335","tests","test_login","TestLogin","","","test_login_scenarios[problem_user]","数据驱动：正向登录成功 + 负向账号锁定。"
"passed","Sun Mar 22 12:52:56 UTC 2026","Sun Mar 22 12:52:57 UTC 2026","479","tests","test_checkout","TestCheckout","","","test_complete_order","
        完整购物流程：加购 → 结算 → 成功。
        cart_page fixture 已完成登录、加商品、进入购物车，
        这里直接结算即可。
        "
"passed","Sun Mar 22 12:53:29 UTC 2026","Sun Mar 22 12:53:30 UTC 2026","342","tests","test_login","TestLogin","","","test_login_scenarios[locked_out_user]","数据驱动：正向登录成功 + 负向账号锁定。"
"passed","Sun Mar 22 12:53:26 UTC 2026","Sun Mar 22 12:53:27 UTC 2026","187","tests","test_inventory","TestInventory","","","test_add_two_products_updates_badge","加入两个商品，角标数字变为 2。"
"passed","Sun Mar 22 12:53:31 UTC 2026","Sun Mar 22 12:53:32 UTC 2026","300","tests","test_login","TestLogin","","","test_empty_credentials_show_error","空用户名密码提交，应显示错误提示。"
"passed","Sun Mar 22 12:53:13 UTC 2026","Sun Mar 22 12:53:23 UTC 2026","10375","tests","test_detail","TestDetail","","","test_remove_from_cart_on_detail_clears_badge","加入后再移除，角标消失（返回空字符串）。"
"passed","Sun Mar 22 12:53:28 UTC 2026","Sun Mar 22 12:53:29 UTC 2026","330","tests","test_login","TestLogin","","","test_login_scenarios[standard_user]","数据驱动：正向登录成功 + 负向账号锁定。"
"passed","Sun Mar 22 12:52:54 UTC 2026","Sun Mar 22 12:52:55 UTC 2026","456","tests","test_cart","TestCart","","","test_checkout_success_message","完成结账后显示成功信息。"
"passed","Sun Mar 22 12:53:09 UTC 2026","Sun Mar 22 12:53:09 UTC 2026","27","tests","test_detail","TestDetail","","","test_detail_shows_correct_product_name","详情页显示的商品名称应和点击的商品一致。"
"passed","Sun Mar 22 12:52:52 UTC 2026","Sun Mar 22 12:52:52 UTC 2026","23","tests","test_cart","TestCart","","","test_cart_contains_added_products","
        购物车里应该包含之前加入的两个商品。
        通过商品名称验证，不是通过数量。
        "
"passed","Sun Mar 22 12:53:28 UTC 2026","Sun Mar 22 12:53:28 UTC 2026","92","tests","test_inventory","TestInventory","","","test_go_to_cart_navigates_correctly","点击购物车图标，URL 跳转到 cart 页面。"
"skipped","Sun Mar 22 12:52:58 UTC 2026","Sun Mar 22 12:53:08 UTC 2026","10216","tests","test_checkout","TestCheckout","","","test_invalid_postal_code","异常场景：邮编包含字母（预期失败）"
"passed","Sun Mar 22 12:53:10 UTC 2026","Sun Mar 22 12:53:11 UTC 2026","93","tests","test_detail","TestDetail","","","test_back_to_products_navigates_correctly","点击返回按钮，URL 跳回 inventory 页。"
"passed","Sun Mar 22 12:53:32 UTC 2026","Sun Mar 22 12:53:33 UTC 2026","337","tests","test_login","TestLogin","","","test_wrong_password_shows_error","错误密码，应显示错误提示。"
